Sub_ID;Island_Group;Sub_Area;Tech_Pot_med;LCOE_med;BPP
3196;Sumatera;1.711;0.005579944;18.19;7.13
3197;Sumatera;1.147;0.003493752;19.9;7.13
3271;Sumatera;7.761;0.041139169;14.49;7.13
3279;Sumatera;3.561;0.017742389;14.72;7.13
3291;Sumatera;2.659;0.011313483;16.31;7.13
3882;Sumatera;0.706;0.001529544;18.5;10.6
4204;Sumatera;0.847;0.002134388;20.04;6.83
4233;Sumatera;2.046;0.011395449;13.04;6.83
4244;Sumatera;0.966;0.003007976;16.84;6.83
4257;Sumatera;1.07;0.004164391;15.43;6.83
4285;Sumatera;2.795;0.015929793;12.83;7.13
4290;Sumatera;0.7;0.002185092;14.05;7.13
4291;Sumatera;1.726;0.009081042;12.46;7.13
4326;Sumatera;1.079;0.004485197;14.64;7.13
4341;Sumatera;1.357;0.004235333;20.42;6.83
4973;Sumatera;0.778;0.002446176;15.91;12.58
4987;Sumatera;2.136;0.007116399;19.96;12.58
4989;Sumatera;8.073;0.029117196;19.99;12.58
5010;Sumatera;0.922;0.002627133;18.28;6.83
5088;Sumatera;0.727;0.001390054;21.06;7.13
5089;Sumatera;14.012;0.04647319;22.35;7.13
5165;Sumatera;3.53;0.011273125;21.92;7.13
5202;Sumatera;1.041;0.002926699;20.19;7.13
5204;Sumatera;7.256;0.022713924;22.22;7.13
5207;Sumatera;0.788;0.001908995;19.76;7.13
5380;Sumatera;0.792;0.001812127;20.71;7.13
5381;Sumatera;1.3;0.003612256;21.69;7.13
5421;Sumatera;0.926;0.003536267;14.54;7.13
5445;Sumatera;1.247;0.003752704;19.18;6.83
5582;Sumatera;2.791;0.00837131;22.55;6.83
5583;Sumatera;4.923;0.015308238;22.62;6.83
5585;Sumatera;1.61;0.004480317;21.17;6.83
5586;Sumatera;0.728;0.0014033;20.93;6.83
5589;Sumatera;0.918;0.002256049;20.75;6.83
5592;Sumatera;7.653;0.025391938;22.1;6.83
5618;Sumatera;4.456;0.014077731;22.16;6.83
5624;Sumatera;1.282;0.003252212;22.01;6.83
5625;Sumatera;6.047;0.020097491;21.57;7.13
5626;Sumatera;1.635;0.004319185;22.17;7.13
5678;Sumatera;1.89;0.005220907;22.64;7.13
5683;Sumatera;4.432;0.015939416;19.73;7.13
5692;Sumatera;4.36;0.013507908;22.5;7.13
5760;Sumatera;40.887;0.134408757;22.62;7.13
5763;Sumatera;1.469;0.004305744;20.31;13.77
5765;Sumatera;19.168;0.06643499;21.34;13.77
5766;Sumatera;10.975;0.039832513;20.21;13.77
5799;Sumatera;11.828;0.0446772;19.39;13.77
5808;Sumatera;3.225;0.009388307;22.79;7.13
5809;Sumatera;3.703;0.011578423;21.71;7.13
5814;Sumatera;13.796;0.045527741;22.08;7.13
5820;Sumatera;5.782;0.018634619;22.09;7.13
5821;Sumatera;7.345;0.023190988;22.13;7.13
5825;Sumatera;3.333;0.009778768;22.4;7.13
5826;Sumatera;14.696;0.047777741;22.66;7.13
5827;Sumatera;10.528;0.034104252;22.71;7.13
5882;Sumatera;0.689;0.001359538;20.4;7.13
5936;Sumatera;0.694;0.001584347;18.15;6.83
6069;Sumatera;8.964;0.033119392;19.91;13.77
6071;Sumatera;1.028;0.002625143;22.26;13.77
6079;Sumatera;2.647;0.008475884;20.6;13.77
6080;Sumatera;11.499;0.042689175;20.07;13.77
6081;Sumatera;25.652;0.100555358;19.21;13.77
6082;Sumatera;2.924;0.008832963;21.8;13.77
6083;Sumatera;33.484;0.128922363;19.61;13.77
6084;Sumatera;10.48;0.050466132;15.95;13.77
6085;Sumatera;12.025;0.048186007;18.87;13.77
6086;Sumatera;14.739;0.054021297;20.27;13.77
6088;Sumatera;48.108;0.18717935;19.61;13.77
6095;Sumatera;1.53;0.004497114;20.73;13.77
6096;Sumatera;20.87;0.080006954;19.76;13.77
6100;Sumatera;1.426;0.004072058;20.8;13.77
6104;Sumatera;0.889;0.002464762;19.24;13.77
6106;Sumatera;1.266;0.003446076;20.58;13.77
6109;Sumatera;11.887;0.042861546;20.39;13.77
6110;Sumatera;15.89;0.06302187;19.03;13.77
6112;Sumatera;1.26;0.003859874;18.66;13.77
6113;Sumatera;16.626;0.066057072;18.86;13.77
6119;Sumatera;2.769;0.008132337;22.82;13.77
6121;Sumatera;5.322;0.017583993;21.09;13.77
6313;Sumatera;0.857;0.001855613;22.84;6.83
6330;Sumatera;10.855;0.035034257;22.44;7.13
6331;Sumatera;1.135;0.003841977;17.77;7.13
6340;Sumatera;1.964;0.006726772;19.06;13.77
6341;Sumatera;4.577;0.017280678;19.11;13.77
6346;Sumatera;2.773;0.012531241;15.23;13.77
6347;Sumatera;1.658;0.005535874;17.96;13.77
6348;Sumatera;0.678;0.001750499;16.53;13.77
6349;Sumatera;2.216;0.011866771;13.38;13.77
6350;Sumatera;23.206;0.105538363;16.99;13.77
6351;Sumatera;52.249;0.172763158;22.67;13.77
6354;Sumatera;74.416;0.25033998;22.3;13.77
6356;Sumatera;17.738;0.071003297;18.82;13.77
6357;Sumatera;1.348;0.003864144;21.37;13.77
6360;Sumatera;3.053;0.009265648;22.3;13.77
6361;Sumatera;6.981;0.022701693;22.13;13.77
6362;Sumatera;4.515;0.014441737;22.39;13.77
6369;Sumatera;5.071;0.020557894;17.87;13.77
6370;Sumatera;25.612;0.096176123;20;13.77
6378;Sumatera;1.166;0.002929795;23.14;13.77
6397;Sumatera;5.768;0.021379168;19.55;13.77
6398;Sumatera;25.469;0.108725562;17.93;13.77
6402;Sumatera;5.203;0.02246655;16.6;13.77
6404;Sumatera;4.871;0.016879662;20.62;13.77
6405;Sumatera;3.222;0.009687181;22.14;13.77
6407;Sumatera;5.152;0.025555622;14.82;13.77
6409;Sumatera;3.695;0.011262854;21.98;13.77
6411;Sumatera;2.066;0.007233562;19.25;13.77
6414;Sumatera;1.341;0.004926687;17.02;13.77
6416;Sumatera;2.428;0.016320483;11.05;13.77
6424;Sumatera;3.655;0.014653815;17.53;12.58
6430;Sumatera;0.678;0.002110844;14.48;12.58
6433;Sumatera;6.365;0.033307148;14.22;12.58
6434;Sumatera;17.997;0.08935121;15.64;12.58
6439;Sumatera;0.691;0.001970525;15.31;12.58
6442;Sumatera;4.562;0.028464535;12.57;12.58
6443;Sumatera;0.866;0.004045909;12.44;12.58
6449;JavaBali;1.43;0.008232921;11.45;6.23
6470;JavaBali;1.882;0.011677166;11.31;6.23
6504;JavaBali;6.029;0.027585479;16.28;6.23
6795;Sumatera;0.69;0.001596317;17.8;13.77
6819;JavaBali;1.105;0.005555078;12.31;6.23
6831;JavaBali;6.368;0.041343831;11.86;6.23
6832;JavaBali;1.665;0.012172939;9.42;6.23
6839;JavaBali;1.276;0.006631864;11.8;6.23
6898;JavaBali;0.819;0.003433819;12.83;6.23
6984;JavaBali;0.857;0.002834002;15.65;6.23
7144;Sumatera;26.979;0.114553432;17.89;13.46
7145;Sumatera;0.804;0.00282506;14.07;13.46
7146;Sumatera;13.188;0.061255943;16.33;13.46
7148;Sumatera;4.006;0.015636686;18.23;13.46
7154;Sumatera;12.38;0.043272803;21.01;13.46
7156;Sumatera;0.954;0.00259322;19.07;13.46
7158;Sumatera;13.879;0.047627535;21.38;13.46
7164;Sumatera;17.81;0.058653574;22.42;13.46
7165;Sumatera;7.948;0.027241371;21.19;13.46
7166;Sumatera;3.594;0.011440719;21.6;13.46
7169;Sumatera;2.619;0.00833109;20.94;13.46
7170;Sumatera;3.619;0.011887672;20.88;13.46
7173;Sumatera;5.101;0.016771637;21.39;13.46
7175;Sumatera;1.426;0.00479448;17.97;13.46
7177;Sumatera;8.739;0.029754052;21.28;13.46
7180;Sumatera;1.792;0.00496824;21.39;13.46
7183;Sumatera;1.326;0.004385698;18.8;13.46
7189;Sumatera;3.558;0.011543064;21.43;13.46
7193;Sumatera;0.7;0.001330038;20.76;13.46
7204;Sumatera;5.03;0.01768079;20.14;13.46
7205;Sumatera;1.004;0.002717035;20.82;13.46
7206;Sumatera;3.497;0.011985631;20.71;13.46
7219;Sumatera;1.985;0.010186983;13.68;10.56
7230;Sumatera;10.477;0.043713328;18.15;10.56
7234;Sumatera;0.802;0.002708593;14.61;10.56
7236;Sumatera;2.442;0.011042707;15.25;10.56
7238;Sumatera;0.952;0.0034197;14.96;10.56
7375;JavaBali;0.88;0.003871815;13.28;6.23
7385;JavaBali;0.694;0.001690965;17.21;6.23
7419;JavaBali;1.331;0.00837007;11.01;6.23
7440;JavaBali;0.939;0.007689278;8.08;6.23
7624;Kalimantan;0.739;0.002585138;13.5;10.56
7628;Kalimantan;2.202;0.013106085;12.16;10.56
7642;Kalimantan;0.898;0.004175201;12.44;10.56
7883;Kalimantan;4.618;0.026709881;13.23;10.56
7888;Kalimantan;1.749;0.008177698;13.65;10.56
7893;Kalimantan;3.539;0.021777034;12.4;10.56
7901;Kalimantan;2.539;0.012458933;14.25;10.56
7904;Kalimantan;1.771;0.007387078;14.88;10.56
7909;Kalimantan;9.576;0.058416256;12.98;10.56
7912;Kalimantan;4.233;0.022566502;13.59;10.56
7917;Kalimantan;1.692;0.007993334;13.23;10.56
7918;Kalimantan;1.539;0.0068492;14.4;10.56
7920;Kalimantan;2.777;0.013923456;14.32;10.56
7935;Kalimantan;3.232;0.017835667;13.03;10.56
7936;Kalimantan;6.707;0.037947797;13.77;10.56
7937;Kalimantan;2.427;0.009489659;17.34;10.56
8241;Kalimantan;0.768;0.002053845;18.53;10.56
8246;Kalimantan;1.406;0.005237728;16.67;10.56
8255;Kalimantan;3.078;0.011450816;18.55;10.56
8459;Kalimantan;0.745;0.002654577;14.78;10.56
8468;Kalimantan;0.693;0.00220398;13.93;10.56
8670;JavaBali;3.306;0.022695505;10.78;6.23
8824;Kalimantan;1.222;0.004071139;17.6;10.56
8827;Kalimantan;3.511;0.012839276;19.46;10.56
8844;Kalimantan;2.693;0.009015505;20.23;10.56
8845;Kalimantan;0.854;0.001956584;21.72;10.56
8848;Kalimantan;0.685;0.001422303;19.64;8.54
8867;Kalimantan;3.397;0.013431906;18.34;10.56
