Sub_ID;Island_Group;Sub_Area;Tech_Pot_med;LCOE_med;BPP
17098;Sulawesi;3.994;0.018970574;15.18;7.27
17104;Sulawesi;1.459;0.006218191;14.64;7.27
17115;Sulawesi;2.15;0.010902606;13.79;7.27
17117;Sulawesi;18.204;0.093030746;15.31;7.27
17121;Sulawesi;0.487;0;21.01;7.27
17122;Sulawesi;1.655;0.006928179;14.98;7.27
17159;Sulawesi;1.768;0.007879273;14.03;7.27
17170;Sulawesi;9.577;0.056344212;13.39;7.27
17172;Sulawesi;17.089;0.101458243;13.34;7.27
17179;Sulawesi;1.691;0.007850402;13.44;7.27
17191;Sulawesi;8.063;0.042373983;14.49;7.27
17192;Sulawesi;5.144;0.029521478;12.96;7.27
17196;Sulawesi;0.442;0;21.92;7.27
17215;Sulawesi;5.257;0.025166519;15.26;7.48
17228;Rest;0.914;0.005588291;9.84;12.74
17229;Rest;13.022;0.080720723;12.89;12.74
17235;Rest;4.702;0.021323956;16.08;11.22
17236;Rest;0.989;0.003484843;16.54;11.22
17238;Rest;18.423;0.11511138;12.79;11.22
17243;Rest;29.284;0.179134354;13.18;11.22
17247;Rest;36.461;0.171299205;16.59;11.22
17253;Rest;56.914;0.404182708;11.71;11.22
17254;Rest;5.2;0.023982353;15.78;12.74
17255;Rest;50.754;0.3219131;12.83;11.22
17256;Rest;3.955;0.019946784;14.68;12.74
17257;Rest;5.007;0.030908974;12.43;11.22
17261;Rest;50.255;0.378648032;11.17;11.22
17262;Rest;34.201;0.171570197;15.5;12.74
17265;Rest;55.595;0.282054305;15.6;11.22
17266;Rest;6.402;0.032371725;14.53;11.22
17271;Rest;5.507;0.033881984;12.69;11.22
17272;Rest;3.317;0.019227717;12.39;12.74
17274;Rest;5.53;0.027940765;14.99;11.22
17275;Rest;2.318;0.009301894;17.21;11.22
17277;Rest;111.837;0.558671439;15.83;11.22
17278;Rest;32.244;0.177751282;14.28;11.22
17280;Rest;12.744;0.071164125;14.03;12.74
17281;Rest;18.504;0.090633082;15.92;12.74
17283;Rest;34.502;0.140328769;18.75;12.74
17284;Rest;0.685;0.00205168;14.85;12.74
17287;Rest;1.902;0.009558604;13.24;11.22
17288;Rest;30.323;0.148968326;15.76;11.22
17291;Rest;1.918;0.007133699;17.71;11.22
17293;Rest;5.46;0.024580104;16.68;11.22
17299;Rest;0.473;0;20.22;11.22
17306;Rest;1.682;0.007868022;13.31;11.22
17308;Rest;42.451;0.178702448;18.34;11.22
17309;Rest;2.315;0.012096201;13.82;12.74
17311;Rest;37.989;0.163445749;18.01;11.22
